Make,Model,Vehicle Class,Engine Size (L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions (g/km)
Ford,Model C,Compact,5.3,4,M5,Z,16.25,11.32,17.59,15.16,224.34
Toyota,Model C,SUV,3.3,8,M6,Z,9.66,6.37,15.13,24.84,104.44
BMW,Model A,Compact,5.1,8,A8,Z,12.72,6.43,5.29,34.81,352.31
Honda,Model A,Sedan,3.8,6,M5,Z,17.85,12.02,12.8,36.91,254.05
Toyota,Model C,Compact,4.2,4,A6,Z,12,9.5,14.04,28.6,141.75
Honda,Model B,Sedan,3.6,8,A6,X,10.4,8.57,15.73,35.53,171.09
BMW,Model A,Truck,3.3,4,M6,X,13.04,5.86,5.73,25.8,234.39
BMW,Model A,Sedan,2.2,4,A6,Z,15.76,6.06,11.24,35.03,156.66
Honda,Model C,Compact,2.5,4,M5,X,11.65,4.12,11.96,16.22,180.58
Toyota,Model B,SUV,2.4,6,A6,Z,19.08,5.01,7.2,26.72,260.32
Ford,Model C,Sedan,3.8,4,M5,X,9.42,10.13,9.19,38.73,349.78
BMW,Model B,Truck,1.6,8,A6,Z,12.13,13.81,10.72,39.09,220.55
Toyota,Model B,Sedan,5.6,4,A8,X,16.35,7.16,15.83,36.48,315.09
Toyota,Model B,Sedan,4.6,8,M6,X,15.34,7.61,17.08,21.13,363.01
Ford,Model A,Sedan,3,4,M6,Z,17.95,5.27,13.17,22.42,164.89
BMW,Model C,Truck,1.8,8,A8,Z,19.95,8.27,10.13,44.88,342.16
BMW,Model C,Compact,5.4,8,A8,X,11.4,4.41,8.3,18.1,327.22
Toyota,Model B,Sedan,5.1,4,M6,X,6.67,14.09,17.77,20.42,207.08
Toyota,Model A,Sedan,4.6,4,A8,Z,5.46,11.4,17.78,18.9,396.86
Ford,Model A,SUV,2.4,8,M5,X,15.9,14.9,17.02,24.83,178.77
Ford,Model C,Truck,3,6,A6,Z,18.11,13.71,15.21,21.31,176.44
BMW,Model A,Sedan,1.5,4,M6,Z,8.31,9.2,9.24,29.93,331.68
Honda,Model A,Truck,1.9,6,A8,X,7.38,9.72,15.62,29.28,230.4
BMW,Model B,Sedan,4.9,4,M5,Z,5.93,6.1,10.31,42.05,199.24
Toyota,Model A,Compact,4.6,4,M6,X,17.34,9.08,9.25,16.04,153.6
BMW,Model B,Compact,4,4,A8,X,9.67,13.93,14.68,24.6,329.6
Honda,Model C,Sedan,5.5,4,M6,Z,11.03,4.56,6.04,32.9,335.9
Ford,Model A,Compact,3.9,6,A8,X,12.54,13.5,5.63,33.14,269.97
Honda,Model C,Sedan,3.3,4,M6,Z,17.59,7.75,10.82,29.4,387.19
Honda,Model C,Compact,2.7,8,M5,Z,14.76,13.89,10.79,39.47,195.45
Honda,Model A,SUV,5.7,8,M5,Z,14.23,14.35,16.64,16.88,165.89
Ford,Model A,SUV,1.4,6,A6,X,7.64,11.38,6.64,39.46,303.24
Honda,Model C,SUV,5.7,4,M6,Z,12.7,11.31,6.6,29.84,327.52
Honda,Model A,Truck,5.1,8,A6,X,15.73,8.98,6.92,19.01,167.47
Honda,Model B,Truck,1.6,6,M6,Z,19.6,13.19,5.39,41.57,122.98
Toyota,Model B,SUV,3.8,4,A8,Z,8.02,14.58,5.93,34.48,343.15
Honda,Model A,Truck,5.3,8,A8,Z,5.14,12.53,13.58,19.91,392.95
Ford,Model C,Compact,3.9,8,A6,X,6.13,10.84,10.61,16.01,293.4
Honda,Model A,Sedan,5.5,6,M6,X,10.64,10.67,14.93,19.23,183.36
Honda,Model A,Sedan,5.7,4,A6,Z,17.31,13.34,17.9,33.26,399
Ford,Model C,Sedan,3.1,4,M5,Z,5.11,9.95,13.57,20.38,367.98
Honda,Model C,SUV,2.9,8,A6,X,11.85,12.84,5.66,21.77,254.01
Ford,Model B,Truck,5.7,8,A6,X,9.94,9.6,6.36,15.75,347.6
Honda,Model C,Compact,4.4,8,A8,X,5.79,4.69,16.45,36.69,344.75
Ford,Model B,Compact,1.6,4,A6,Z,11.75,8.22,11.86,39.31,380.44
Honda,Model C,SUV,1.2,6,M6,X,8.82,8.89,15.72,38.91,352.28
Honda,Model A,Compact,3.8,6,A8,Z,10.28,5.56,16.14,18.83,293.1
Toyota,Model B,Compact,5.7,4,A6,X,15.58,5.13,17.06,42.1,282.79
Toyota,Model B,Compact,5.2,6,M5,Z,12.82,9.89,17.35,35.17,240.21
Honda,Model B,Compact,4.4,8,A6,Z,6.87,4.94,12.21,41.93,287.95
Honda,Model A,Truck,1.7,6,A6,Z,19.42,7.33,9.43,28.41,338.56
BMW,Model A,Compact,2.3,6,A6,X,14.54,12.19,17.5,28.11,390.71
